2026-06-27 06:42:16 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@560465ea, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5c75524, org.springframework.security.web.context.SecurityContextHolderFilter@e9dab3c, org.springframework.security.web.header.HeaderWriterFilter@747683ec, org.springframework.web.filter.CorsFilter@647e6004, org.springframework.security.web.authentication.logout.LogoutFilter@56549935, com.noc.employee_cv.security.JwtFilter@7adcaa6b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@528294aa, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@59c88354, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a94ad4b, org.springframework.security.web.session.SessionManagementFilter@234f948d, org.springframework.security.web.access.ExceptionTranslationFilter@52d54ca2, org.springframework.security.web.access.intercept.AuthorizationFilter@d1216ae]
2026-06-27 06:42:17 [main] INFO  c.n.e.EmployeeCvApplicationTests - Started EmployeeCvApplicationTests in 2.931 seconds (process running for 3.261)
2026-06-27 06:42:17 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-27 06:42:17 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-27 06:42:17 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-06-27 06:43:42 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-27 06:43:42 [main] INFO  c.n.e.EmployeeCvApplicationTests - Starting EmployeeCvApplicationTests using Java 25.0.2 with PID 16849 (started by sopheak in /Users/sopheak/IdeaProjects/employee_cv)
2026-06-27 06:43:42 [main] INFO  c.n.e.EmployeeCvApplicationTests - The following 1 profile is active: "test"
2026-06-27 06:43:42 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-27 06:43:42 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 32 JPA repository interfaces.
2026-06-27 06:43:43 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-27 06:43:43 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-06-27 06:43:43 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-27 06:43:43 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-27 06:43:43 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-27 06:43:43 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:employee_cv_test user=SA
2026-06-27 06:43:43 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-27 06:43:43 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-27 06:43:43 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-27 06:43:43 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-06-27 06:43:44 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2026-06-27 06:43:44 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@42147d92, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5a458c94, org.springframework.security.web.context.SecurityContextHolderFilter@3fd5e7c8, org.springframework.security.web.header.HeaderWriterFilter@15f77a5a, org.springframework.web.filter.CorsFilter@25e42acb, org.springframework.security.web.authentication.logout.LogoutFilter@58cea843, com.noc.employee_cv.security.JwtFilter@35f375, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3334cc8b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1b586c48, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6c0b1e50, org.springframework.security.web.session.SessionManagementFilter@192baa3d, org.springframework.security.web.access.ExceptionTranslationFilter@71c37190, org.springframework.security.web.access.intercept.AuthorizationFilter@5e993930]
2026-06-27 06:43:45 [main] INFO  c.n.e.EmployeeCvApplicationTests - Started EmployeeCvApplicationTests in 2.716 seconds (process running for 3.024)
2026-06-27 06:43:45 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-27 06:43:45 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-27 06:43:45 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-06-27 06:46:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-27 06:46:14 [main] INFO  c.n.e.EmployeeCvApplicationTests - Starting EmployeeCvApplicationTests using Java 25.0.2 with PID 17431 (started by sopheak in /Users/sopheak/IdeaProjects/employee_cv)
2026-06-27 06:46:14 [main] INFO  c.n.e.EmployeeCvApplicationTests - The following 1 profile is active: "test"
2026-06-27 06:46:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-27 06:46:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 32 JPA repository interfaces.
2026-06-27 06:46:14 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-27 06:46:14 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-06-27 06:46:14 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-27 06:46:14 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-27 06:46:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-27 06:46:14 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:employee_cv_test user=SA
2026-06-27 06:46:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
